year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2019,Erie-Meadville,Local,409780025,6934.8,0.3,0.5
2019,Harrisburg-York-Lebanon,Interstate/Freeway/Expressway,4821726285,1267.336,0.7,1
2019,Harrisburg-York-Lebanon,Minor Arterial,1892142845,1775.844,0.5,0.7
2019,Harrisburg-York-Lebanon,Collector (Major and Minor),1800016115,4516.148,0.5,0.7
2019,Harrisburg-York-Lebanon,Local,1327237820,16562.4,0.3,0.5
2019,Johnston-Somerset,Interstate/Freeway/Expressway,721913060,457.072,0.7,1
2019,Johnston-Somerset,Minor Arterial,260653435,561.204,0.5,0.7
2019,Johnston-Somerset,Collector (Major and Minor),365481800,2050.594,0.5,0.7
2019,Johnston-Somerset,Local,294023195,5423.2,0.3,0.5
2019,Lancaster,Interstate/Freeway/Expressway,1539097690,362.096,0.7,1
2019,Lancaster,Minor Arterial,1076401790,733.32,0.5,0.7
2019,Lancaster,Collector (Major and Minor),801874705,1706.276,0.5,0.7
2019,Lancaster,Local,623618195,5493.8,0.3,0.5
2019,Philadelphia,Interstate/Freeway/Expressway,8831496930,1418.28,0.7,1
2019,Philadelphia,Minor Arterial,3914191380,2897.244,0.5,0.7
2019,Philadelphia,Collector (Major and Minor),2788152510,4531.956,0.5,0.7
2019,Philadelphia,Local,2712883670,22210.8,0.3,0.5
2019,Pittsburgh,Interstate/Freeway/Expressway,6729907595,2398.144,0.7,1
2019,Pittsburgh,Minor Arterial,3547185705,4409.748,0.5,0.7
2019,Pittsburgh,Collector (Major and Minor),2375866030,8981.414,0.5,0.7
2019,Pittsburgh,Local,2775583005,33628.2,0.3,0.5
2019,Reading,Interstate/Freeway/Expressway,1326971370,373.968,0.7,1
2019,Reading,Minor Arterial,610633685,509.796,0.5,0.7
2019,Reading,Collector (Major and Minor),450866980,1272.544,0.5,0.7
2019,Reading,Local,464071585,4859.6,0.3,0.5
2019,Scranton-Wilkes-Barre,Interstate/Freeway/Expressway,2074828995,759.808,0.7,1
2019,Scranton-Wilkes-Barre,Minor Arterial,920973475,1056.132,0.5,0.7
2019,Scranton-Wilkes-Barre,Collector (Major and Minor),542814495,1967.602,0.5,0.7
2019,Scranton-Wilkes-Barre,Local,708691665,6922.4,0.3,0.5
2019,State College-Dubois,Interstate/Freeway/Expressway,1044823085,488.448,0.7,1
2019,State College-Dubois,Minor Arterial,376056215,583.128,0.5,0.7
2019,State College-Dubois,Collector (Major and Minor),282915880,1607.97,0.5,0.7
